577.74,459.13,1,0,3
681.65,443.36,2,0,3
500.10,459.13,3,0,3
571.71,454.35,4,0,3
606.06,432.02,5,0,3
693.62,418.01,6,0,3
484.47,431.52,7,0,3
522.98,425.65,8,0,3
548.12,386.13,10,0,3
601.30,377.55,11,0,3
520.37,385.95,12,0,3
549.69,379.48,13,0,3
173.00,493.62,1,1,3
266.20,480.55,2,1,3
148.99,490.62,3,1,3
218.47,485.47,4,1,3
187.16,474.32,5,1,3
265.21,461.88,6,1,3
144.75,462.16,7,1,3
192.64,457.10,8,1,3
163.22,434.78,10,1,3
224.73,424.66,11,1,3
151.96,434.49,12,1,3
193.76,425.12,13,1,3
338.68,501.88,1,2,3
460.56,483.75,2,2,3
282.28,498.73,3,2,3
385.14,492.43,4,2,3
372.08,473.84,5,2,3
464.40,458.71,6,2,3
270.11,457.71,7,2,3
339.02,453.37,8,2,3
319.19,419.34,10,2,3
391.62,409.22,11,2,3
299.85,417.66,12,2,3
343.40,408.98,13,2,3
