692.91,399.48,1,0,1
794.15,390.08,2,0,2
652.22,385.55,3,0,1
723.01,387.25,4,0,2
711.77,366.80,5,0,1
802.88,359.56,6,0,2
644.66,341.87,7,0,2
711.70,335.91,8,0,2
683.38,311.91,10,0,1
758.39,304.22,11,0,1
662.33,308.23,12,0,1
719.91,299.23,13,0,1
923.34,446.27,1,1,3
1094.12,436.97,2,1,3
810.89,426.82,3,1,3
908.12,418.36,4,1,3
984.21,402.30,5,1,3
1110.19,382.85,6,1,3
786.37,374.40,7,1,3
875.99,374.40,8,1,3
888.67,305.92,10,1,3
1003.66,289.85,11,1,3
806.66,302.53,12,1,3
905.58,287.32,13,1,3
1310.66,389.33,1,2,3
1467.07,379.18,2,2,3
1092.52,369.04,3,2,3
1226.96,362.27,4,2,3
1376.61,318.31,5,2,3
1512.73,306.47,6,2,3
1050.25,307.32,7,2,3
1132.28,303.53,8,2,3
1241.33,234.60,10,2,3
1346.17,219.39,11,2,3
1170.31,232.91,12,2,3
1238.57,222.30,13,2,3
