844.34,622.90,1,0,1
752.47,619.10,2,0,2
792.87,623.38,3,0,1
692.32,619.57,4,0,2
849.29,596.93,5,0,2
799.65,595.65,6,0,2
765.95,583.30,7,0,1
681.33,578.16,8,0,1
814.90,560.44,10,0,1
781.16,550.96,11,0,2
782.27,555.59,12,0,1
722.30,548.98,13,0,1
396.69,626.31,1,1,1
255.61,612.74,2,1,2
201.54,622.81,3,1,1
38.93,612.30,4,1,2
428.71,574.27,5,1,1
334.81,556.83,6,1,2
130.99,544.75,7,1,1
-10.73,527.75,8,1,2
300.22,479.42,10,1,1
220.33,459.54,11,1,2
138.53,459.70,12,1,1
13.98,447.15,13,1,1
1450.64,627.94,1,2,2
1442.24,630.43,2,2,2
1533.02,634.13,3,2,2
1530.08,637.07,4,2,1
1428.19,612.25,5,2,2
1421.63,612.81,6,2,2
1565.00,619.06,7,2,2
1560.59,620.89,8,2,1
1469.16,593.09,10,2,2
1465.99,594.28,11,2,2
1523.90,597.22,12,2,2
1521.54,597.84,13,2,1
1601.19,739.33,1,3,2
1557.74,771.57,2,3,1
2047.88,791.22,3,3,2
1989.64,821.50,4,3,2
1457.38,692.35,5,3,2
1474.50,704.33,6,3,1
2121.77,741.23,7,3,2
2089.51,751.74,8,3,2
1747.51,602.41,10,3,2
1752.71,611.67,11,3,1
1911.41,611.56,12,3,2
1918.42,617.74,13,3,1
