1605.89,565.60,1,1,1
1642.83,558.85,2,1,2
1413.54,555.09,3,1,1
1469.78,551.42,4,1,2
1663.45,527.38,5,1,1
1705.05,521.64,6,1,1
1367.40,511.95,7,1,1
1429.31,512.13,8,1,2
1532.83,470.04,10,1,1
1572.61,467.43,11,1,1
1395.44,466.58,12,1,1
1444.24,465.23,13,1,2
1527.79,667.27,1,0,2
1553.17,691.74,2,0,1
1957.18,678.79,3,0,2
1995.71,711.84,4,0,2
1390.58,620.36,5,0,2
1424.32,627.64,6,0,1
1988.93,633.55,7,0,2
2064.75,633.55,8,0,2
1752.29,512.80,10,0,1
1765.81,521.18,11,0,1
1911.81,512.06,12,0,2
1950.96,522.40,13,0,2
