499.94,620.89,1,0,1
592.77,616.26,2,0,2
424.24,620.89,3,0,1
513.48,618.74,4,0,2
528.64,587.33,5,0,1
601.56,581.31,6,0,1
420.41,575.21,7,0,2
476.45,576.71,8,0,2
477.48,543.81,10,0,1
548.09,538.48,11,0,1
428.72,544.77,12,0,1
489.38,537.42,13,0,2
1909.00,583.11,1,1,1
1891.28,574.09,2,1,2
1694.26,610.12,3,1,2
1678.50,590.98,4,1,2
1946.85,532.19,1,1,2
1928.14,530.65,6,1,2
1637.31,538.86,7,1,2
1610.95,523.43,8,1,2
1807.96,485.15,10,1,1
1783.20,480.65,11,1,2
1640.22,495.29,12,1,1
1621.87,486.69,13,1,1
