441.01,519.03,1,0,2
325.69,550.81,2,0,1
1077.01,532.18,3,0,2
946.55,569.45,4,0,1
303.54,423.49,5,0,2
235.64,436.29,6,0,1
1172.38,397.77,7,0,2
1115.63,418.88,8,0,1
1193.88,568.49,9,0,1
680.68,280.45,10,0,2
609.41,301.12,11,0,1
975.17,290.09,12,0,1
926.07,309.95,13,0,1
1372.29,389.61,1,1,2
1248.67,380.92,2,1,2
1410.02,410.09,3,1,1
1218.70,401.46,4,1,1
1391.69,316.31,5,1,2
1236.48,308.77,6,1,2
1403.55,316.31,7,1,1
1224.63,313.08,8,1,1
1377.89,234.78,10,1,2
1263.46,232.40,11,1,2
1378.13,240.94,12,1,1
1249.53,238.47,13,1,1
134.83,270.79,1,2,2
89.49,273.67,2,2,2
89.06,275.54,3,2,1
26.30,280.51,4,2,2
157.86,255.10,5,2,2
116.50,251.44,6,2,2
55.68,245.98,7,2,1
6.73,246.60,8,2,1
109.75,226.74,10,2,1
80.16,224.01,11,2,2
84.48,227.43,12,2,1
45.32,225.28,13,2,1
914.96,342.24,1,3,2
1020.59,346.69,2,3,2
952.21,336.68,3,3,2
1084.53,336.13,4,3,2
912.18,307.22,5,3,2
1008.92,305.55,6,3,2
1032.23,279.64,7,3,2
1089.44,278.38,8,3,2
952.94,247.98,10,3,1
1031.01,249.73,11,3,1
982.00,245.88,12,3,2
1052.37,248.68,13,3,1
758.74,266.49,1,4,1
738.95,260.43,2,4,2
654.07,267.15,3,4,2
633.56,260.79,4,4,2
769.76,246.50,5,4,1
759.82,244.52,6,4,2
615.42,246.75,7,4,2
608.44,242.75,8,4,2
710.92,223.06,10,4,1
705.70,219.05,11,4,2
673.52,224.30,12,4,1
665.39,221.53,13,4,2
543.36,299.34,1,5,2
575.14,297.40,2,5,2
389.64,288.32,3,5,2
427.53,287.44,4,5,2
577.09,268.86,5,5,1
603.68,266.26,6,5,2
336.46,256.53,7,5,2
358.85,252.78,8,5,2
492.99,229.68,10,5,2
509.04,227.75,11,5,2
422.89,223.76,12,5,1
443.86,220.90,13,5,2
